"","sample_id","rcapid","soc","soc_sd","soc_measured","sample_top","sample_bottom","texture","elevation","long","lat","landuse"
"142",110146,"C1314F325",53.45,1.617319877,"measured",0,3,"",474,-79.08,41.47,"F"
"143",110283,"C1314F391",42.24,1.617319877,"measured",0,9,"",NA,-77.12,40.72,"F"
"144",110288,"C1314F392",11.06,1.617319877,"measured",0,7,"",NA,-77.12,40.72,"F"
"145",110293,"C1314F393",49.06,1.617319877,"measured",0,10,"",NA,-77.12,40.72,"F"
"146",110297,"C1314F394",34.28,1.617319877,"measured",0,7,"",NA,-77.12,40.72,"F"
"147",110303,"C1314F395",35.36,1.617319877,"measured",0,7,"",NA,-77.12,40.72,"F"
"148",110307,"C1314F421",53.61,1.617319877,"measured",0,3,"",515,-77.75,40.75,"F"
"149",110312,"C1314F422",53.87,1.617319877,"measured",0,2,"",515,-77.75,40.75,"F"
"150",110317,"C1314F423",54.08,1.617319877,"measured",0,2,"",515,-77.75,40.75,"F"
"151",110322,"C1314F424",52.89,1.617319877,"measured",0,4,"",515,-77.75,40.75,"F"
"152",110327,"C1314F425",52.42,1.617319877,"measured",0,4,"",515,-77.75,40.75,"F"
"153",110381,"C1314F471",19.39,1.617319877,"measured",0,2,"",NA,-77.14,41.24,"F"
"154",110387,"C1314F472",27.22,1.617319877,"measured",0,2,"",NA,-77.14,41.24,"F"
"155",110391,"C1314F473",39.25,1.617319877,"measured",0,2,"",NA,-77.14,41.24,"F"
"156",110395,"C1314F474",25.9,1.617319877,"measured",0,2,"",NA,-77.14,41.24,"F"
"157",110400,"C1314F475",34.2,1.617319877,"measured",0,2,"",NA,-77.14,41.24,"F"
"158",110483,"C1314F821",50.77,1.617319877,"measured",0,1,"",NA,-76.74,39.91,"F"
"159",110478,"C1314F822",53.63,1.617319877,"measured",0,1,"",NA,-76.74,39.91,"F"
"160",110473,"C1314F823",51.8,1.617319877,"measured",0,1,"",NA,-76.74,39.91,"F"
"161",110488,"C1314F824",48.04,1.617319877,"measured",0,1,"",NA,-76.74,39.91,"F"
"162",110492,"C1314F825",52.36,1.617319877,"measured",0,1,"",NA,-76.74,39.91,"F"
"163",111036,"C1315F032",31.03,1.617319877,"measured",0,5,"",NA,-77.05,40.49,"F"
"164",111040,"C1315F033",22.42,1.617319877,"measured",0,4,"",NA,-77.05,40.49,"F"
"165",111044,"C1315F034",34.61,1.617319877,"measured",0,3,"",NA,-77.05,40.49,"F"
"166",111049,"C1315F035",19.13,1.617319877,"measured",0,3,"",NA,-77.05,40.49,"F"
"167",111143,"C1315F081",19.72,1.617319877,"measured",0,2,"",NA,-76.79,40.65,"F"
"168",111148,"C1315F082",20.36,1.617319877,"measured",0,2,"",NA,-76.79,40.65,"F"
"169",111152,"C1315F083",28.14,1.617319877,"measured",0,2,"",NA,-76.79,40.65,"F"
"170",111157,"C1315F084",25.32,1.617319877,"measured",0,2,"",NA,-76.79,40.65,"F"
"171",111162,"C1315F085",17.17,1.617319877,"measured",0,2,"",NA,-76.79,40.65,"F"
